outcome;brand;analysis;subanalysis;category;vlab;comparison_period;irr;lc;uc
TM;PF;Primary risk window after 1d;add in week;exclude hcw;days 4-28;4;1.8001709;0.8479799;3.8215709
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-28;4;1.7396722;0.82305247;3.6771162
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;;prior covid;days 4-28;4;REDACT n<=5;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;;no prior covid;days 4-28;4;1.6903229;0.90094572;3.171325
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in week;no prior covid;days 4-28;4;1.6327273;0.77664906;3.4324362
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in week;prior covid;days 4-28;4;REDACT n<=5;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in 2 week;no prior covid;days 4-28;4;1.5748821;0.75152898;3.300277
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;18-39;days 4-42;4;1.2944299;0.3835451;4.3685837
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;40-64;days 4-42;4;0.98046273;0.49024704;1.9608629
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;65-105;days 4-42;4;1.1148096;0.697267;1.7823882
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;18-39;days 4-42;4;1.3383181;0.29173732;6.1394105
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;40-64;days 4-42;4;1.1510489;0.47328934;2.7993731
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;65-105;days 4-42;4;0.77987909;0.38179275;1.5930408
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;18-39;days 4-42;4;1.2145501;0.2788102;5.2908111
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;40-64;days 4-42;4;1.1019711;0.45164534;2.6887035
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;65-105;days 4-42;4;0.81680548;0.40579921;1.644092
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;exclude hcw;days 4-42;4;1.1053966;0.75867003;1.6105839
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;exclude hcw;days 4-42;4;1.013817;0.60608828;1.6958333
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-42;4;1.014176;0.60986292;1.6865312
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;prior covid;days 4-42;4;0.69310886;0.16330534;2.9417281
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;no prior covid;days 4-42;4;1.1305115;0.77065444;1.6584038
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;prior covid;days 4-42;4;0.75193948;0.12234104;4.621613
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;no prior covid;days 4-42;4;1.1318814;0.66492897;1.9267554
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;prior covid;days 4-42;4;0.83568943;0.13753462;5.0778255
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;no prior covid;days 4-42;4;1.1093994;0.65529114;1.8781991
