outcome;brand;analysis;subanalysis;category;vlab;comparison_period;irr;lc;uc
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;18-39;days 4-28;4;1.7291466;1.3296162;2.2487302
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;40-64;days 4-28;4;1.6174259;1.4331639;1.8253785
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;65-105;days 4-28;4;1.0062369;0.84670836;1.1958224
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;18-39;days 4-28;4;1.8145965;1.29925;2.5343549
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;40-64;days 4-28;4;1.4710552;1.2661548;1.7091143
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;65-105;days 4-28;4;0.90128058;0.71085018;1.1427256
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;18-39;days 4-28;4;1.8021435;1.2907784;2.5160949
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;40-64;days 4-28;4;1.4818336;1.2766888;1.7199421
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;65-105;days 4-28;4;0.89300209;0.70567107;1.1300629
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;exclude hcw;days 4-28;4;1.3835866;1.2603116;1.5189195
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;exclude hcw;days 4-28;4;1.3036296;1.1683937;1.4545183
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-28;4;1.2995245;1.1651243;1.4494282
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;prior covid;days 4-28;4;1.1132255;0.76183528;1.6266916
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;no prior covid;days 4-28;4;1.4145224;1.2858226;1.5561041
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;1.2411652;0.79967922;1.9263861
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;no prior covid;days 4-28;4;1.3231612;1.182598;1.4804318
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;1.2002345;0.77591407;1.856601
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;no prior covid;days 4-28;4;1.3219001;1.181854;1.4785414
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;18-39;days 4-28;4;1.6991202;0.50841916;5.6784043
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;40-64;days 4-28;4;1.5503078;0.871252;2.7586207
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;65-105;days 4-28;4;1.3235618;0.52644438;3.327637
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;18-39;days 4-28;4;2.6549637;0.46499476;15.158951
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;40-64;days 4-28;4;2.4050758;1.1080129;5.2205076
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;65-105;days 4-28;4;0.6352793;0.10079312;4.0040407
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;18-39;days 4-28;4;2.5649765;0.442027;14.883943
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;40-64;days 4-28;4;2.3507679;1.08688;5.0843787
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;65-105;days 4-28;4;0.74202174;0.14039576;3.9217441
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;exclude hcw;days 4-28;4;1.4523909;0.91405654;2.3077776
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
