outcome;brand;analysis;subanalysis;category;vlab;comparison_period;irr;lc;uc
TM;AZ;Primary risk window after 1d;add in week;exclude hcw;days 4-28;4;1.8191448;0.99995029;3.3094525
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-28;4;1.8360143;1.0132366;3.3269112
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;prior covid;days 4-28;4;2.5086248;0.72617298;8.6662531
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;no prior covid;days 4-28;4;1.4132353;0.86795968;2.3010678
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;17.252634;1.9507008;152.58794
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;no prior covid;days 4-28;4;1.6491163;0.88315088;3.0794108
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;15.041117;1.7361706;130.30699
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;no prior covid;days 4-28;4;1.6771603;0.90175068;3.1193397
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;18-39;days 4-42;4;2.5630758;1.1514028;5.7055249
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;40-64;days 4-42;4;3.6498368;2.7824988;4.7875338
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;65-105;days 4-42;4;2.1175969;1.5327799;2.9255447
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;18-39;days 4-42;4;2.0120287;0.48338011;8.374898
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;40-64;days 4-42;4;2.8817718;1.8834084;4.4093509
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;65-105;days 4-42;4;1.5568557;0.79632771;3.0437214
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;18-39;days 4-42;4;2.0086222;0.48562735;8.3079405
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;40-64;days 4-42;4;2.8223472;1.8516489;4.301919
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;65-105;days 4-42;4;1.6748867;0.87838203;3.1936505
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;exclude hcw;days 4-42;4;2.8636222;2.3427866;3.5002472
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;exclude hcw;days 4-42;4;2.5028322;1.845387;3.3945012
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-42;4;2.4925499;1.8417326;3.3733482
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;prior covid;days 4-42;4;1.1513879;0.48818988;2.7155299
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;no prior covid;days 4-42;4;3.0594206;2.4883714;3.7615182
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;prior covid;days 4-42;4;1.0135155;0.32150161;3.1950495
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;no prior covid;days 4-42;4;2.7189147;1.9804305;3.7327728
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;prior covid;days 4-42;4;0.98598742;0.31887516;3.0487516
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;no prior covid;days 4-42;4;2.70788;1.9758986;3.7110276
