outcome;brand;analysis;subanalysis;category;vlab;comparison_period;irr;lc;uc
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;18-39;days 4-28;4;1.4954835;1.1547371;1.9367794
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;40-64;days 4-28;4;1.5367863;1.3640883;1.7313484
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;65-105;days 4-28;4;0.97633213;0.82746959;1.1519753
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;18-39;days 4-28;4;1.6228638;1.1720279;2.2471194
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;40-64;days 4-28;4;1.434932;1.2385087;1.6625074
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;65-105;days 4-28;4;0.89374673;0.71067202;1.1239829
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;18-39;days 4-28;4;1.612329;1.1652195;2.2309999
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;40-64;days 4-28;4;1.4467212;1.2498373;1.6746196
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;65-105;days 4-28;4;0.87401283;0.69637907;1.0969578
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;exclude hcw;days 4-28;4;1.3078284;1.193915;1.4326105
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;exclude hcw;days 4-28;4;1.2821314;1.1521224;1.426811
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-28;4;1.278374;1.1491311;1.4221528
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;prior covid;days 4-28;4;0.98252618;0.6736151;1.4330999
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;;no prior covid;days 4-28;4;1.3391631;1.2200283;1.4699312
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;1.1016084;0.71502811;1.6971935
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;no prior covid;days 4-28;4;1.3057568;1.1701264;1.4571083
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;1.0771056;0.70105737;1.6548668
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
BP;AZ;Primary risk window after 1d;add in 2 week;no prior covid;days 4-28;4;1.3042572;1.1691476;1.4549803
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;18-39;days 4-28;4;1.4769393;0.52401185;4.162787
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;40-64;days 4-28;4;1.2718761;0.71882463;2.2504361
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;65-105;days 4-28;4;1.0427796;0.41867176;2.5972354
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;18-39;days 4-28;4;3.3057554;0.72952807;14.979573
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;40-64;days 4-28;4;2.2170153;1.0523216;4.6707749
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;65-105;days 4-28;4;0.44328791;0.078258395;2.5109661
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;18-39;days 4-28;4;3.2750642;0.73742056;14.545358
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;40-64;days 4-28;4;2.1512585;1.0262389;4.5095868
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;65-105;days 4-28;4;0.50147802;0.10474198;2.4009495
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;exclude hcw;days 4-28;4;1.2072574;0.77147436;1.8892015
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
