outcome;brand;analysis;subanalysis;category;vlab;comparison_period;irr;lc;uc
TM;AZ;Primary risk window after 1d;add in week;exclude hcw;days 4-28;4;1.6478325;0.92136776;2.9470882
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-28;4;1.6437434;0.92384249;2.9246247
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;prior covid;days 4-28;4;2.0086296;0.69892991;5.7725286
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;;no prior covid;days 4-28;4;1.1446589;0.70644838;1.854692
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;18.794016;2.9527066;119.62417
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;no prior covid;days 4-28;4;1.4035165;0.75322258;2.6152413
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in week;prior covid;days 4-28;4;13.012471;2.6928549;62.879139
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;AZ;Primary risk window after 1d;add in 2 week;no prior covid;days 4-28;4;1.4112267;0.76196462;2.6137185
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;18-39;days 4-42;4;1.922779;0.92616785;3.991802
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;40-64;days 4-42;4;3.1274652;2.3955064;4.0830774
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;65-105;days 4-42;4;1.5448647;1.1212876;2.1284518
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;18-39;days 4-42;4;2.2374294;0.60559744;8.266366
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;40-64;days 4-42;4;2.7929921;1.8369309;4.2466512
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;65-105;days 4-42;4;0.91926783;0.49554145;1.7053131
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;18-39;days 4-42;4;2.3138793;0.61657453;8.6835194
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;40-64;days 4-42;4;2.7879276;1.8387547;4.2270679
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;65-105;days 4-42;4;1.0090337;0.55698323;1.8279706
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;exclude hcw;days 4-42;4;2.2688472;1.8655778;2.7592888
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;exclude hcw;days 4-42;4;2.2775679;1.6874409;3.0740726
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-42;4;2.2873082;1.6979238;3.08128
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;prior covid;days 4-42;4;0.99537951;0.45294914;2.1873987
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;;no prior covid;days 4-42;4;2.4090967;1.9672203;2.9502273
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;prior covid;days 4-42;4;1.2521653;0.41115955;3.813405
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;no prior covid;days 4-42;4;2.4175594;1.7679778;3.3058066
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in week;prior covid;days 4-42;4;1.2539246;0.41921562;3.7506404
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;AZ;Primary risk window after 1d;add in 2 week;no prior covid;days 4-42;4;2.4296288;1.7798152;3.3166904
