outcome;brand;analysis;subanalysis;category;vlab;comparison_period;irr;lc;uc
TM;PF;Primary risk window after 1d;add in week;exclude hcw;days 4-28;4;1.8086731;0.87500465;3.7386074
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-28;4;1.768967;0.85906762;3.6426055
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;;prior covid;days 4-28;4;5.7835219e-18;0;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;;no prior covid;days 4-28;4;1.5702765;0.86206549;2.8603029
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in week;prior covid;days 4-28;4;4.6501230e-19;0;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in week;no prior covid;days 4-28;4;1.5488495;0.75885189;3.1612687
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in week;prior covid;days 4-28;4;1.7625145e-09;0;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
TM;PF;Primary risk window after 1d;add in 2 week;no prior covid;days 4-28;4;1.5127089;0.74274027;3.0808725
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;18-39;days 4-42;4;1.7498291;0.66715562;4.5894866
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;40-64;days 4-42;4;0.81841862;0.42648929;1.5705179
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;65-105;days 4-42;4;1.0023751;0.64893901;1.5483055
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;18-39;days 4-42;4;2.2239671;0.65064514;7.6017318
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;40-64;days 4-42;4;1.1491982;0.48353842;2.7312336
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;65-105;days 4-42;4;0.71336061;0.36817849;1.3821648
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;18-39;days 4-42;4;2.0384312;0.60903823;6.8225627
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;40-64;days 4-42;4;1.0740125;0.45243621;2.5495369
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;65-105;days 4-42;4;0.75687957;0.39521614;1.4495022
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;exclude hcw;days 4-42;4;0.99781686;0.70510769;1.4120375
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;exclude hcw;days 4-42;4;0.99858046;0.6192497;1.610276
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;exclude hcw;days 4-42;4;1.0064014;0.62826848;1.6121196
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;prior covid;days 4-42;4;0.66328418;0.15664764;2.8085065
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;;no prior covid;days 4-42;4;1.0297201;0.72717381;1.458143
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;prior covid;days 4-42;4;0.72623551;0.12522902;4.2116275
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;no prior covid;days 4-42;4;1.1107827;0.68209958;1.8088828
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in week;prior covid;days 4-42;4;0.79329419;0.13882382;4.5331969
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
[REDACTED];;;;;;;;;
GBS;PF;Primary risk window after 1d;add in 2 week;no prior covid;days 4-42;4;1.1008881;0.68042934;1.7811618
